coding	meaning
1028011000000106	Procollagen type III N-terminal propeptide level
776284005	Ibandronic acid (product)
776284005	Ibandronic acid
1028011000000106	N-terminal propeptide type 3 level
777548009	Sodium benzoate (product)
1027691000000105	Leucocyte count
1027691000000105	Leucocyte count
777548009	Sodium benzoate
777217000	Pipotiazine (product)
777217000	Pipotiazine
777483005	Salbutamol (product)
777483005	Salbutamol
775367005	Retinol + Colecalciferol (product)
775367005	Retinol + Colecalciferol
789417002	Upadacitinib (product)
789417002	Upadacitinib
1028951000000109	Blood sirolimus level
1027981000000102	Blood cystatin C level
1026281000000107	Blood tacrolimus level
1028151000000106	Blood thiopurine methyltransferase level
1028521000000107	Polymorphonuclear leucocyte count
1028521000000107	Polymorph count
1022451000000103	RBC (red blood cell) count
1000771000000109	Blood aluminium
9.93501E+14	RBC (red blood cell) distribution width
1019491000000106	RBC (red blood cell) volume
1031961000000100	Cell count observable
1031961000000100	Cell count observable
1031961000000100	Cell count observable (observable entity)
1031961000000100	Cell count observable (observable entity)
1031971000000107	Antigen test observable
1031971000000107	Antigen test observable (observable entity)
1031981000000109	Blood cell count
1031981000000109	Blood cell count
1031981000000109	Blood cell count (observable entity)
1031981000000109	Blood cell count (observable entity)
1032001000000109	Drug level
1032001000000109	Drug level (observable entity)
1032011000000106	Hormone level
1032011000000106	Hormone level (observable entity)
1032021000000100	Protein level
1032021000000100	Protein level (observable entity)
1032031000000103	Steroid level
1032031000000103	Steroid level (observable entity)
1032041000000107	Antibody level
1032041000000107	Antibody level (observable entity)
1032051000000105	White blood cell test observable
1032051000000105	White blood cell test observable
1032051000000105	White blood cell test observable (observable entity)
1032051000000105	White blood cell test observable (observable entity)
1032061000000108	Creatinine level
1032061000000108	Creatinine level
1032061000000108	Creatinine level (observable entity)
1032061000000108	Creatinine level (observable entity)
1032081000000104	Carbohydrate level
1032081000000104	Carbohydrate level (observable entity)
1032091000000102	Amino acid level
1032091000000102	Amino acid level (observable entity)
1032141000000108	Ratio measurement observable
1032141000000108	Ratio measurement observable (observable entity)
1032161000000109	Uric acid level
1032161000000109	Uric acid level (observable entity)
1032191000000103	Pyrrole level
1032191000000103	Pyrrole level
1032191000000103	Pyrrole level (observable entity)
1032191000000103	Pyrrole level (observable entity)
1032211000000104	Urine specimen observable
1032211000000104	Urine specimen observable (observable entity)
1032241000000103	Heavy metal level
1032241000000103	Heavy metal level (observable entity)
1032311000000109	Bicarbonate level
1032311000000109	Bicarbonate level (observable entity)
1001371000000100	Serum CRP (C reactive protein) level
1000461000000109	Serum CA 125 (cancer antigen 125) level
1000471000000102	Serum CEA (carcinoembryonic antigen) level
138875005	35.5.0_20230215000001 UK drug extension
138875005	35.5.0_20230215000001 UK drug extension
1005681000000107	Serum HDL (high density lipoprotein) cholesterol level
1022191000000100	Serum LDL (low density lipoprotein) cholesterol level
1022791000000101	Serum TSH (thyroid stimulating hormone) level
1003441000000101	Serum VLDL (very low density lipoprotein) cholesterol level
1000381000000105	Serum PSA (prostate specific antigen) level
1016851000000107	TFT (thyroid function test)
399029005	Tinea inguinalis
449815008	Perianal venous thrombosis
1032871000000108	Enzyme level
1032871000000108	Enzyme level (observable entity)
1032941000000106	Erythrocyte observable
1032941000000106	Erythrocyte observable
1032941000000106	Erythrocyte observable (observable entity)
1032941000000106	Erythrocyte observable (observable entity)
1033591000000101	Major postpartum haemorrhage (disorder)
1022511000000103	ESR - erythrocyte sedimentation rate
702849009	Diabetic antenatal clinic
1032161000000109	Urate level
1027901000000107	Clozaril level
1027141000000107	Free T3 (triiodothyronine) level
1.37971E+14	History of acute kidney injury
36329002	Slovak
20927009	Severe dengue
776857000	Nalbuphine (product)
713634000	FI - Frailty Index
713630009	GFI - Groningen Frailty Indicator
713633006	Assessment using GFI (Groningen Frailty Indicator)
713255007	Discussion about FGM (female genital mutilation)
713776001	Email received from third party
713632001	GFI (Groningen Frailty Indicator) score
715074009	Insertion of osseointegrated bone anchor for amputation prosthesis
715074009	Insertion of ITAP (intraosseous transcutaneous amputation prosthesis) implant
713608008	Involuted toenail
713774003	MIRPE - Minimally invasive repair of pectus excavatum
714028001	Live donor partial pneumonectomy
713592008	Retrograde cutting balloon endopyelotomy using fluoroscopic guidance
713579005	Assessment using PAM (Patient Activation Measure)
713644003	PAM (Patient Activation Measure) score
713650008	Assessment using CSNAT (Carer Support Needs Assessment Tool)
713663002	CSNAT - Carer Support Needs Assessment Tool
713635004	SPECT CT of pelvis using gallium 67
713599004	Post mortem ultrasound scan
713554007	Ultrasound tubogram with contrast
713563009	Ultrasound guided iodine 125 RSL (radioactive seed localisation) to breast lesion
713559002	SPECT CT of thorax using indium 111 labelled octreotide
713548006	Low dose CT of chest
713548006	Low dose CT of thorax
713552006	SPECT CT of abdomen using I123 MIBG (iodine 123 meta-iodobenzylguanidine)
714256001	DEXA (dual energy X-ray photon absorptiometry) scan requested
713596006	CSNAT (Carer Support Needs Assessment Tool) score
776857000	Nalbuphine
775405001	Crotamiton (product)
775405001	Crotamiton
775036003	Capsaicin (product)
775036003	Capsaicin
777140009	Perhexiline (product)
777140009	Perhexiline
776984003	Tiotropium + Olodaterol (product)
776984003	Tiotropium + Olodaterol
777471008	Rosuvastatin (product)
777471008	Rosuvastatin
776718002	Methacholine (product)
776718002	Methacholine
775175005	Chlormethine (product)
775175005	Chlormethine
777675005	Tapentadol (product)
777675005	Tapentadol
776296003	Ichthammol + Zinc oxide (product)
776296003	Ichthammol + Zinc oxide
775928009	Fenofibrate (product)
775928009	Fenofibrate
777701005	Temoporfin (product)
777701005	Temoporfin
776681009	Meptazinol (product)
776681009	Meptazinol
777344007	Propranolol (product)
777344007	Propranolol
776911001	Nifurtimox (product)
776911001	Nifurtimox
775470005	Delamanid (product)
775470005	Delamanid
774574006	Ammonium chloride + Diphenhydramine (product)
774574006	Ammonium chloride + Diphenhydramine
1046311000000107	Viral antibody level
1046311000000107	Viral antibody level (observable entity)
1046551000000100	Urine C-peptide/creatinine ratio (observable entity)
1046551000000100	Urine C-peptide/creatinine ratio
236535001	Glomerulopathy with fibronectin deposits 1
708127008	Collagen type III glomerulopathy
371093006	Urinary sepsis
1.45681E+14	Acute kidney injury due to tubular necrosis
698660008	Main spoken language Faeroese
273303000	BaFPE - Bay Area Functional Performance Evaluation
712884004	Newson's syndrome
1031101000000102	Aspartate aminotransferase level
1031101000000102	Aspartate aminotransferase level
138875005	21.0.0_20160401000001 UK clinical extension
162410003	C/O: a lump
240166008	Clinical 2016-04-01
242768005	Contact with sharp object
242768005	Contact with sharp object, occurrence at farm
242768005	Contact with sharp object, occurrence at home
242768005	Contact with sharp object, occurrence at industrial and construction area
242768005	Contact with sharp object, occurrence at other specified place
242768005	Contact with sharp object, occurrence at residential institution
242768005	Contact with sharp object, occurrence at school other institution and public administrative area
242768005	Contact with sharp object, occurrence at sports and athletics area
242768005	Contact with sharp object, occurrence at street and highway
242768005	Contact with sharp object, occurrence at trade and service area
242768005	Contact with sharp object, occurrence at unspecified place
195472000	Other specified haemorrhoids
1.05651E+14	H/O: pre-eclampsia
1.05651E+14	History of pre-eclampsia
1.021E+12	PICC (peripherally inserted central catheter) in situ
713348007	Endoscopic thermal bronchoplasty
405249000	Coronectomy
713699007	Ultrasound guided vacuum assisted excision of breast
717343004	Cone beam CT guided aspiration of thorax
717348008	Cone beam CT guided aspiration of leg
715246006	Computerised tomography of axilla for radiotherapy planning
715290001	Computerised tomography of lumbosacral spine for radiotherapy planning
715461005	Computerised tomography of urinary bladder with contrast for radiotherapy planning
715292009	Computerised tomography of breast with contrast for radiotherapy planning
715250004	Computerised tomography of axilla with contrast for radiotherapy planning
715294005	Computerised tomography of neck with contrast for radiotherapy planning
715692000	Computerised tomography of head with contrast for radiotherapy planning
715687002	Computerised tomography of prostate with contrast for radiotherapy planning
715690008	Computerised tomography of pelvis with contrast for radiotherapy planning
715689004	Computerised tomography of cervical spine for radiotherapy planning
715247002	Computerised tomography of thoracic spine for radiotherapy planning
715494008	Computerised tomography of thorax with contrast for radiotherapy planning
715688007	Computerised tomography of lower leg for radiotherapy planning
715288002	Computerised tomography of lower limb for radiotherapy planning
715248007	Computerised tomography of thigh for radiotherapy planning
715249004	Computerised tomography of abdomen for radiotherapy planning
715245005	Computerised tomography of head and neck for radiotherapy planning
715289005	Computerised tomography of head and neck with contrast for radiotherapy planning
715291002	Computerised tomography with contrast for radiotherapy planning
715681001	Computerised tomography of pelvis for brachytherapy planning
715683003	Computerised tomography of prostate for brachytherapy planning
715682008	Computerised tomography of thorax for brachytherapy planning
704180000	HAS-BLED (hypertension, abnormal renal and/or liver function, stroke, bleeding history or predisposition, labile international normalised ratio, elderly over 65, and drugs and/or alcohol concomitantly) bleeding risk score
4.311E+12	Biochemistry report
4.331E+12	Immunology report
273376009	CASP (Communication Assessment Profile)
138875005	22.0.0_20161001000001 UK clinical extension
705035005	LYMQOL (Lymphoedema Quality of Life) tool leg score
705036006	LYMQOL (Lymphoedema Quality of Life) tool arm score
441652008	FFPE (formalin-fixed paraffin-embedded) tissue specimen
710571007	Renal dysplasia due to fetal ACE (angiotensin converting enzyme) inhibitor exposure
